ID,Group,Gender,Pre_Score,Post_Score,Satisfaction,Income_Category
P001,Experimental,Male,45,75,3,Low
P002,Experimental,Female,46,76,4,Medium
P003,Experimental,Male,47,77,5,High
P004,Experimental,Female,48,78,2,Low
P005,Experimental,Male,49,79,4,Medium
P006,Experimental,Female,50,80,5,High
P007,Experimental,Male,51,81,3,Low
P008,Experimental,Female,52,82,4,Medium
P009,Experimental,Male,53,83,5,High
P010,Experimental,Female,54,84,2,Low
P011,Experimental,Male,45,85,4,Medium
P012,Experimental,Female,46,86,5,High
P013,Experimental,Male,47,75,3,Low
P014,Experimental,Female,48,76,4,Medium
P015,Experimental,Male,49,77,5,High
P016,Experimental,Female,50,78,2,Low
P017,Experimental,Male,51,79,4,Medium
P018,Experimental,Female,52,80,5,High
P019,Experimental,Male,53,81,3,Low
P020,Experimental,Female,54,82,4,Medium
P021,Experimental,Male,45,83,5,High
P022,Experimental,Female,46,84,2,Low
P023,Experimental,Male,47,85,4,Medium
P024,Experimental,Female,48,86,5,High
P025,Experimental,Male,49,75,3,Low
P026,Experimental,Female,50,76,4,Medium
P027,Experimental,Male,51,77,5,High
P028,Experimental,Female,52,78,2,Low
P029,Experimental,Male,53,79,4,Medium
P030,Experimental,Female,54,80,5,High
P031,Control,Male,48,73,3,Low
P032,Control,Female,49,74,4,Medium
P033,Control,Male,50,75,5,High
P034,Control,Female,51,76,2,Low
P035,Control,Male,52,77,4,Medium
P036,Control,Female,53,78,5,High
P037,Control,Male,54,67,3,Low
P038,Control,Female,55,68,4,Medium
P039,Control,Male,56,69,5,High
P040,Control,Female,57,70,2,Low
P041,Control,Male,48,71,4,Medium
P042,Control,Female,49,72,5,High
P043,Control,Male,50,73,3,Low
P044,Control,Female,51,74,4,Medium
P045,Control,Male,52,75,5,High
P046,Control,Female,53,76,2,Low
P047,Control,Male,54,77,4,Medium
P048,Control,Female,55,78,5,High
P049,Control,Male,56,67,3,Low
P050,Control,Female,57,68,4,Medium
P051,Control,Male,48,69,5,High
P052,Control,Female,49,70,2,Low
P053,Control,Male,50,71,4,Medium
P054,Control,Female,51,72,5,High
P055,Control,Male,52,73,3,Low
P056,Control,Female,53,74,4,Medium
P057,Control,Male,54,75,5,High
P058,Control,Female,55,76,2,Low
P059,Control,Male,56,77,4,Medium
P060,Control,Female,57,78,5,High
