ID,Group,Pre_Score,Post_Score,Reported_t_statistic,Reported_p_value,Reported_df,Reported_cohen_d
P001,Experimental,55,75,3.977,0.0002,58.0,1.027
P002,Experimental,52,78,,,,
P003,Experimental,58,82,,,,
P004,Experimental,60,85,,,,
P005,Experimental,54,76,,,,
P006,Experimental,50,72,,,,
P007,Experimental,56,80,,,,
P008,Experimental,59,84,,,,
P009,Experimental,53,77,,,,
P010,Experimental,57,81,,,,
P011,Experimental,51,73,,,,
P012,Experimental,55,79,,,,
P013,Experimental,60,86,,,,
P014,Experimental,58,83,,,,
P015,Experimental,52,75,,,,
P016,Experimental,56,80,,,,
P017,Experimental,54,77,,,,
P018,Experimental,59,84,,,,
P019,Experimental,53,76,,,,
P020,Experimental,57,82,,,,
P021,Experimental,50,71,,,,
P022,Experimental,55,78,,,,
P023,Experimental,61,87,,,,
P024,Experimental,58,83,,,,
P025,Experimental,52,74,,,,
P026,Experimental,56,79,,,,
P027,Experimental,54,76,,,,
P028,Experimental,59,85,,,,
P029,Experimental,53,75,,,,
P030,Experimental,57,81,,,,
P031,Control,48,50,,,,
P032,Control,45,47,,,,
P033,Control,50,52,,,,
P034,Control,52,54,,,,
P035,Control,47,49,,,,
P036,Control,44,46,,,,
P037,Control,49,51,,,,
P038,Control,51,53,,,,
P039,Control,46,48,,,,
P040,Control,50,52,,,,
P041,Control,45,46,,,,
P042,Control,48,50,,,,
P043,Control,52,55,,,,
P044,Control,50,52,,,,
P045,Control,46,48,,,,
P046,Control,49,51,,,,
P047,Control,47,49,,,,
P048,Control,51,53,,,,
P049,Control,46,47,,,,
P050,Control,50,52,,,,
P051,Control,44,45,,,,
P052,Control,48,50,,,,
P053,Control,53,56,,,,
P054,Control,50,52,,,,
P055,Control,46,48,,,,
P056,Control,49,51,,,,
P057,Control,47,49,,,,
P058,Control,51,54,,,,
P059,Control,46,47,,,,
P060,Control,50,52,,,,
